order_number,order_date,item_name,quantity,product_price,total_products
15879,20-07-2019 16:55,Mango Chutney,1,0.5,7
15873,19-07-2019 20:15,Mint Sauce,1,0.5,8
15869,19-07-2019 19:12,Lime Pickle,1,0.5,12
15867,19-07-2019 19:06,Mint Sauce,1,0.5,10
15856,19-07-2019 17:42,Mango Chutney,2,0.5,7
15854,19-07-2019 17:31,Onion Chutney,2,0.5,6
15814,16-07-2019 17:35,Lime Pickle,1,0.5,6
15810,15-07-2019 21:44,Mint Sauce,1,0.5,4
15809,15-07-2019 21:30,Mint Sauce,1,0.5,3
15804,15-07-2019 18:51,Mango Chutney,1,0.5,8
15804,15-07-2019 18:51,Mint Sauce,1,0.5,8
15796,14-07-2019 20:23,Mint Sauce,2,0.5,5
15784,14-07-2019 16:27,Mint Sauce,1,0.5,8
15776,13-07-2019 19:31,Mango Chutney,1,0.5,5
15774,13-07-2019 19:07,Mint Sauce,1,0.5,10
15771,13-07-2019 18:53,Mint Sauce,1,0.5,16
15768,13-07-2019 18:42,Mango Chutney,1,0.5,8
15767,13-07-2019 18:36,Mint Sauce,2,0.5,8
15761,13-07-2019 17:22,Mango Chutney,1,0.5,5
15754,12-07-2019 19:54,Mint Sauce,2,0.5,7
15735,11-07-2019 19:33,Mango Chutney,2,0.5,18
15735,11-07-2019 19:33,Onion Chutney,2,0.5,18
15731,11-07-2019 18:43,Red Sauce,1,0.5,8
15729,11-07-2019 18:27,Mango Chutney,2,0.5,7
15721,10-07-2019 18:25,Mint Sauce,1,0.5,9
15721,10-07-2019 18:25,Lime Pickle,1,0.5,9
15715,09-07-2019 19:19,Onion Chutney,1,0.5,5
15712,09-07-2019 18:14,Mango Chutney,2,0.5,7
15695,07-07-2019 19:42,Mango Chutney,1,0.5,6
15695,07-07-2019 19:42,Onion Chutney,1,0.5,6
15674,06-07-2019 19:44,Red Sauce,1,0.5,7
15672,06-07-2019 19:30,Mango Chutney,1,0.5,6
15670,06-07-2019 19:18,Lime Pickle,1,0.5,13
15663,06-07-2019 18:32,Mint Sauce,1,0.5,7
15654,06-07-2019 16:59,Mango Chutney,1,0.5,9
15650,05-07-2019 21:40,Onion Chutney,1,0.5,5
15643,05-07-2019 19:29,Mango Chutney,4,0.5,10
15641,05-07-2019 19:09,Onion Chutney,2,0.5,5
15635,05-07-2019 18:14,Red Sauce,1,0.5,9
15635,05-07-2019 18:14,Mint Sauce,1,0.5,9
15633,05-07-2019 17:56,Mango Chutney,2,0.5,7
15632,05-07-2019 17:33,Mango Chutney,1,0.5,7
15631,05-07-2019 17:26,Mango Chutney,2,0.5,9
15631,05-07-2019 17:26,Onion Chutney,1,0.5,9
15630,05-07-2019 17:22,Red Sauce,1,0.5,10
15626,04-07-2019 19:50,Mango Chutney,1,0.5,12
15626,04-07-2019 19:50,Mint Sauce,1,0.5,12
15620,04-07-2019 17:45,Lime Pickle,2,0.5,13
15616,03-07-2019 20:12,Red Sauce,1,0.5,8
15615,03-07-2019 19:33,Onion Chutney,1,0.5,5
15612,03-07-2019 18:07,Mint Sauce,1,0.5,9
15602,02-07-2019 19:24,Mango Chutney,1,0.5,9
15602,02-07-2019 19:24,Mint Sauce,1,0.5,9
15588,30-06-2019 21:36,Mango Chutney,1,0.5,5
15583,30-06-2019 19:39,Onion Chutney,1,0.5,4
15567,29-06-2019 20:18,Red Sauce,1,0.5,6
15560,29-06-2019 19:00,Onion Chutney,1,0.5,8
15558,29-06-2019 18:15,Mango Chutney,1,0.5,13
15537,28-06-2019 18:47,Mango Chutney,2,0.5,10
15536,28-06-2019 18:43,Mango Chutney,2,0.5,9
15532,28-06-2019 18:22,Mango Chutney,1,0.5,5
15525,27-06-2019 20:16,Mint Sauce,1,0.5,5
15518,26-06-2019 20:06,Onion Chutney,2,0.5,5
15487,23-06-2019 20:37,Mint Sauce,2,0.5,8
15479,23-06-2019 17:53,Mango Chutney,1,0.5,10
15466,22-06-2019 19:38,Mint Sauce,1,0.5,7
15465,22-06-2019 19:29,Mango Chutney,2,0.5,8
15461,22-06-2019 19:04,Mango Chutney,1,0.5,11
15458,22-06-2019 18:30,Mango Chutney,1,0.5,6
15447,21-06-2019 19:47,Mint Sauce,2,0.5,10
15445,21-06-2019 19:14,Onion Chutney,1,0.5,8
15440,21-06-2019 18:40,Mango Chutney,1,0.5,5
15433,21-06-2019 17:35,Mango Chutney,1,0.5,9
15427,20-06-2019 18:56,Mango Chutney,1,0.5,5
15391,17-06-2019 18:44,Mint Sauce,1,0.5,9
15388,17-06-2019 18:02,Mango Chutney,1,0.5,9
15387,17-06-2019 12:12,Lime Pickle,1,0.5,4
15378,16-06-2019 19:09,Mango Chutney,1,0.5,7
15373,16-06-2019 18:29,Onion Chutney,2,0.5,7
15355,15-06-2019 20:21,Red Sauce,1,0.5,8
15349,15-06-2019 19:20,Mint Sauce,2,0.5,6
15347,15-06-2019 18:58,Mint Sauce,1,0.5,9
15343,15-06-2019 18:50,Onion Chutney,1,0.5,8
15339,14-06-2019 21:50,Onion Chutney,1,0.5,5
15336,14-06-2019 20:01,Mango Chutney,1,0.5,4
15335,14-06-2019 20:01,Mango Chutney,1,0.5,5
15332,14-06-2019 19:41,Onion Chutney,1,0.5,11
15330,14-06-2019 19:32,Red Sauce,1,0.5,9
15318,13-06-2019 20:18,Mango Chutney,4,0.5,8
15318,13-06-2019 20:18,Mint Sauce,5,0.5,8
15312,13-06-2019 17:45,Mango Chutney,1,0.5,6
15306,12-06-2019 18:42,Mint Sauce,1,0.5,9
15306,12-06-2019 18:42,Mango Chutney,2,0.5,9
15305,12-06-2019 17:23,Mint Sauce,1,0.5,5
15303,12-06-2019 16:50,Mango Chutney,1,0.5,8
15298,11-06-2019 19:19,Mango Chutney,2,0.5,8
15286,10-06-2019 17:10,Mango Chutney,1,0.5,10
15286,10-06-2019 17:10,Mint Sauce,2,0.5,10
15268,09-06-2019 14:08,Mango Chutney,1,0.5,9
15262,08-06-2019 22:08,Mint Sauce,1,0.5,5
15256,08-06-2019 20:30,Mint Sauce,1,0.5,8
15224,07-06-2019 19:26,Mint Sauce,1,0.5,5
15220,07-06-2019 18:48,Mint Sauce,1,0.5,5
15216,07-06-2019 18:21,Onion Chutney,3,0.5,14
15213,07-06-2019 18:12,Onion Chutney,1,0.5,14
15211,07-06-2019 18:04,Onion Chutney,2,0.5,8
15210,07-06-2019 17:49,Mint Sauce,2,0.5,5
15204,06-06-2019 18:59,Mango Chutney,1,0.5,6
15199,05-06-2019 21:08,Onion Chutney,1,0.5,8
15197,05-06-2019 20:44,Mango Chutney,1,0.5,7
15197,05-06-2019 20:44,Mint Sauce,1,0.5,7
15186,04-06-2019 20:08,Onion Chutney,1,0.5,6
15174,04-06-2019 17:58,Mint Sauce,1,0.5,11
15173,04-06-2019 13:38,Mango Chutney,1,0.5,4
15166,03-06-2019 18:51,Mango Chutney,1,0.5,6
15158,02-06-2019 18:35,Mango Chutney,1,0.5,10
15156,02-06-2019 17:09,Mango Chutney,1,0.5,6
15149,01-06-2019 20:06,Mint Sauce,1,0.5,8
15149,01-06-2019 20:06,Red Sauce,1,0.5,8
15146,01-06-2019 19:42,Mint Sauce,1,0.5,8
15126,31-05-2019 19:48,Mango Chutney,2,0.5,9
15105,30-05-2019 18:21,Lime Pickle,1,0.5,6
15099,29-05-2019 18:24,Onion Chutney,2,0.5,9
15091,28-05-2019 20:01,Onion Chutney,1,0.5,6
15089,28-05-2019 19:24,Mint Sauce,1,0.5,8
15070,27-05-2019 17:42,Mint Sauce,1,0.5,8
15056,26-05-2019 20:31,Red Sauce,1,0.5,6
15051,26-05-2019 19:42,Mango Chutney,2,0.5,8
15044,26-05-2019 18:05,Mango Chutney,1,0.5,7
15038,25-05-2019 22:15,Mango Chutney,1,0.5,6
15029,25-05-2019 20:07,Mango Chutney,1,0.5,8
15029,25-05-2019 20:07,Onion Chutney,1,0.5,8
15028,25-05-2019 19:54,Mango Chutney,1,0.5,8
15028,25-05-2019 19:54,Onion Chutney,1,0.5,8
15016,25-05-2019 18:22,Onion Chutney,2,0.5,11
15016,25-05-2019 18:22,Lime Pickle,1,0.5,11
14992,24-05-2019 18:37,Mango Chutney,2,0.5,7
14987,24-05-2019 17:37,Mango Chutney,1,0.5,7
14984,23-05-2019 20:32,Onion Chutney,1,0.5,6
14982,23-05-2019 19:44,Red Sauce,1,0.5,10
14982,23-05-2019 19:44,Onion Chutney,1,0.5,10
14976,23-05-2019 16:44,Mango Chutney,1,0.5,7
14971,22-05-2019 19:15,Red Sauce,1,0.5,5
14957,21-05-2019 18:07,Mint Sauce,1,0.5,10
14957,21-05-2019 18:07,Lime Pickle,1,0.5,10
14956,21-05-2019 16:16,Mango Chutney,1,0.5,7
14947,20-05-2019 18:15,Mint Sauce,2,0.5,2
14945,20-05-2019 17:33,Mint Sauce,1,0.5,4
14924,19-05-2019 12:45,Mint Sauce,1,0.5,11
14924,19-05-2019 12:45,Onion Chutney,1,0.5,11
14905,18-05-2019 20:23,Mango Chutney,1,0.5,9
14905,18-05-2019 20:23,Onion Chutney,1,0.5,9
14894,18-05-2019 18:56,Mango Chutney,1,0.5,8
14866,17-05-2019 19:07,Mint Sauce,1,0.5,10
14859,17-05-2019 18:06,Onion Chutney,1,0.5,12
14845,16-05-2019 17:23,Mango Chutney,1,0.5,6
14820,14-05-2019 20:13,Lime Pickle,1,0.5,9
14812,13-05-2019 20:21,Onion Chutney,1,0.5,4
14784,12-05-2019 16:59,Mint Sauce,1,0.5,7
14764,11-05-2019 19:35,Mango Chutney,1,0.5,10
14738,10-05-2019 19:04,Mint Sauce,1,0.5,4
14713,08-05-2019 19:11,Mint Sauce,1,0.5,4
14686,06-05-2019 17:40,Mango Chutney,1,0.5,9
14685,06-05-2019 17:26,Red Sauce,1,0.5,9
14685,06-05-2019 17:26,Mint Sauce,1,0.5,9
14681,05-05-2019 20:54,Mango Chutney,2,0.5,11
14681,05-05-2019 20:54,Onion Chutney,2,0.5,11
14675,05-05-2019 20:03,Mint Sauce,1,0.5,6
14663,05-05-2019 18:32,Mango Chutney,2,0.5,10
14663,05-05-2019 18:32,Mint Sauce,2,0.5,10
14647,04-05-2019 19:47,Mint Sauce,1,0.5,6
14644,04-05-2019 19:36,Onion Chutney,1,0.5,8
14642,04-05-2019 19:26,Mint Sauce,1,0.5,10
14639,04-05-2019 19:06,Mango Chutney,2,0.5,8
14639,04-05-2019 19:06,Lime Pickle,1,0.5,8
14634,04-05-2019 18:37,Mango Chutney,1,0.5,6
14631,04-05-2019 18:30,Mango Chutney,1,0.5,9
14630,04-05-2019 18:21,Mango Chutney,2,0.5,8
14598,02-05-2019 19:54,Mint Sauce,1,0.5,4
14581,01-05-2019 19:17,Mango Chutney,1,0.5,8
14577,01-05-2019 18:09,Mango Chutney,1,0.5,7
14570,30-04-2019 18:50,Mint Sauce,1,0.5,10
14558,29-04-2019 18:29,Mango Chutney,2,0.5,8
14550,28-04-2019 19:34,Mango Chutney,2,0.5,6
14548,28-04-2019 19:06,Mint Sauce,1,0.5,10
14546,28-04-2019 18:16,Mint Sauce,1,0.5,14
14546,28-04-2019 18:16,Red Sauce,1,0.5,14
14537,27-04-2019 20:20,Red Sauce,1,0.5,6
14531,27-04-2019 19:39,Mint Sauce,1,0.5,9
14518,27-04-2019 18:47,Mango Chutney,2,0.5,15
14502,26-04-2019 20:10,Mint Sauce,1,0.5,7
14492,26-04-2019 17:43,Onion Chutney,2,0.5,12
14492,26-04-2019 17:43,Lime Pickle,1,0.5,12
14472,23-04-2019 19:51,Red Sauce,1,0.5,9
14469,23-04-2019 19:42,Mint Sauce,2,0.5,11
14467,23-04-2019 19:23,Mango Chutney,1,0.5,6
14464,22-04-2019 22:18,Mint Sauce,1,0.5,7
14454,22-04-2019 19:10,Mango Chutney,1,0.5,8
14453,22-04-2019 18:35,Mango Chutney,1,0.5,9
14453,22-04-2019 18:35,Mint Sauce,1,0.5,9
14443,21-04-2019 18:35,Mango Chutney,2,0.5,11
14443,21-04-2019 18:35,Red Sauce,1,0.5,11
14431,20-04-2019 20:17,Mango Chutney,4,0.5,12
14428,20-04-2019 20:04,Mango Chutney,1,0.5,9
14417,20-04-2019 17:21,Onion Chutney,1,0.5,9
14405,19-04-2019 19:17,Mango Chutney,1,0.5,4
14401,19-04-2019 18:17,Mango Chutney,1,0.5,6
14397,19-04-2019 17:51,Onion Chutney,1,0.5,13
14394,18-04-2019 20:34,Lime Pickle,1,0.5,5
14391,18-04-2019 19:36,Mango Chutney,1,0.5,6
14372,17-04-2019 18:54,Red Sauce,1,0.5,11
14372,17-04-2019 18:54,Mint Sauce,1,0.5,11
14365,16-04-2019 20:54,Mint Sauce,1,0.5,7
14362,16-04-2019 19:27,Mango Chutney,1,0.5,6
14346,15-04-2019 17:50,Mint Sauce,1,0.5,9
14346,15-04-2019 17:50,Mango Chutney,1,0.5,9
14345,15-04-2019 17:42,Mango Chutney,1,0.5,8
14344,15-04-2019 12:28,Mint Sauce,1,0.5,11
14332,14-04-2019 18:56,Mint Sauce,1,0.5,11
14332,14-04-2019 18:56,Onion Chutney,1,0.5,11
14331,14-04-2019 18:52,Mango Chutney,1,0.5,6
14329,14-04-2019 18:40,Mint Sauce,1,0.5,9
14320,14-04-2019 16:36,Mango Chutney,1,0.5,9
14315,13-04-2019 19:58,Mint Sauce,1,0.5,8
14310,13-04-2019 19:22,Mint Sauce,1,0.5,10
14310,13-04-2019 19:22,Onion Chutney,2,0.5,10
14309,13-04-2019 19:07,Mint Sauce,1,0.5,11
14309,13-04-2019 19:07,Red Sauce,1,0.5,11
14301,13-04-2019 17:57,Mint Sauce,1,0.5,7
14296,13-04-2019 16:58,Mint Sauce,1,0.5,7
14291,12-04-2019 20:08,Mint Sauce,1,0.5,9
14291,12-04-2019 20:08,Mango Chutney,1,0.5,9
14291,12-04-2019 20:08,Onion Chutney,1,0.5,9
14281,12-04-2019 19:07,Mango Chutney,1,0.5,9
14281,12-04-2019 19:07,Mint Sauce,1,0.5,9
14279,12-04-2019 18:54,Mint Sauce,1,0.5,8
14279,12-04-2019 18:54,Mango Chutney,1,0.5,8
14277,12-04-2019 18:47,Mango Chutney,1,0.5,5
14250,10-04-2019 18:02,Onion Chutney,1,0.5,6
14250,10-04-2019 18:02,Red Sauce,1,0.5,6
14247,09-04-2019 19:20,Mango Chutney,2,0.5,5
14244,09-04-2019 18:50,Mint Sauce,2,0.5,5
14239,08-04-2019 19:06,Mango Chutney,1,0.5,5
14193,06-04-2019 18:07,Mango Chutney,1,0.5,4
14181,05-04-2019 21:25,Mint Sauce,2,0.5,4
14174,05-04-2019 20:03,Mint Sauce,1,0.5,7
14170,05-04-2019 19:12,Mango Chutney,3,0.5,7
14155,05-04-2019 17:40,Lime Pickle,1,0.5,11
14142,03-04-2019 18:52,Mint Sauce,1,0.5,7
14141,03-04-2019 18:49,Mango Chutney,1,0.5,6
14140,03-04-2019 18:40,Red Sauce,1,0.5,6
14129,01-04-2019 18:53,Mint Sauce,1,0.5,5
14123,31-03-2019 20:07,Mint Sauce,1,0.5,6
14121,31-03-2019 19:41,Onion Chutney,1,0.5,4
14101,30-03-2019 19:58,Mango Chutney,2,0.5,9
14097,30-03-2019 19:27,Onion Chutney,2,0.5,12
14095,30-03-2019 19:05,Mint Sauce,1,0.5,9
14089,30-03-2019 18:31,Mango Chutney,1,0.5,10
14088,30-03-2019 18:23,Mint Sauce,1,0.5,6
14083,30-03-2019 18:08,Red Sauce,1,0.5,7
14062,29-03-2019 20:09,Mint Sauce,1,0.5,5
14056,29-03-2019 19:19,Mint Sauce,1,0.5,11
14048,29-03-2019 18:21,Mango Chutney,1,0.5,9
14043,29-03-2019 17:42,Mint Sauce,1,0.5,15
14043,29-03-2019 17:42,Red Sauce,1,0.5,15
14040,29-03-2019 15:22,Red Sauce,1,0.5,15
14029,28-03-2019 19:19,Mango Chutney,1,0.5,8
14025,28-03-2019 18:47,Mint Sauce,1,0.5,6
14024,28-03-2019 18:40,Mango Chutney,2,0.5,9
14019,28-03-2019 17:55,Mint Sauce,1,0.5,3
13999,26-03-2019 17:48,Mint Sauce,1,0.5,7
13999,26-03-2019 17:48,Onion Chutney,2,0.5,7
13999,26-03-2019 17:48,Red Sauce,1,0.5,7
13982,24-03-2019 17:45,Mango Chutney,2,0.5,12
13981,24-03-2019 17:09,Lime Pickle,1,0.5,8
13973,23-03-2019 20:23,Mango Chutney,1,0.5,6
13959,23-03-2019 18:46,Mango Chutney,1,0.5,6
13956,23-03-2019 18:36,Mango Chutney,1,0.5,8
13949,23-03-2019 18:01,Mint Sauce,1,0.5,8
13945,23-03-2019 17:10,Mango Chutney,1,0.5,8
13940,22-03-2019 19:34,Mint Sauce,1,0.5,6
13922,21-03-2019 20:14,Red Sauce,1,0.5,6
13921,21-03-2019 19:15,Mango Chutney,3,0.5,7
13913,20-03-2019 21:41,Mint Sauce,1,0.5,4
13913,20-03-2019 21:41,Onion Chutney,1,0.5,4
13910,20-03-2019 19:06,Mango Chutney,1,0.5,9
13910,20-03-2019 19:06,Onion Chutney,1,0.5,9
13910,20-03-2019 19:06,Red Sauce,1,0.5,9
13906,20-03-2019 18:24,Mango Chutney,1,0.5,7
13895,19-03-2019 18:45,Mango Chutney,1,0.5,6
13891,19-03-2019 18:29,Red Sauce,1,0.5,16
